question,expected_answer
PKSHAの2022年度の主要な会計基準適用後の指標は？,"収益認識基準適用後、売上高は11,509,927千円です。"
2023年度の株式報酬制度に関する変更点は何ですか？,信託を通じて自社株式を交付する株式報酬制度を導入しました。
PKSHAの第9期に適用された会計基準の特徴は？,企業結合に係る暫定的な会計処理の確定が反映されました。
2021年度の売上高はいくらですか？,"8,727,071千円です。"
2020年度の親会社株主に帰属する当期純利益はいくらですか？,"1,753,805千円です。"
2023年度の総資産額はいくらですか？,"36,886,991千円です。"
2024年度の自己資本比率は何パーセントですか？,77.3%です。
2023年度の営業活動によるキャッシュフローは？,"2,390,898千円です。"
2022年度と2023年度の売上高の違いは？,"2022年度は11,509,927千円、2023年度は13,908,918千円で増加しました。"
2020年度と2023年度の総資産額を比較してください。,"2020年度は31,904,686千円、2023年度は36,886,991千円で大幅に増加しました。"
2021年度と2024年度の親会社株主に帰属する当期純利益を比較してください。,"2021年度は139,431千円、2024年度は1,148,652千円で大きく増加しました。"
2020年度と2024年度の自己資本利益率の違いは？,2020年度は6.5%、2024年度は3.9%で減少しました。
2023年度と2024年度の現金及び現金同等物の期末残高の違いは？,"2023年度は15,512,681千円、2024年度は15,265,932千円で減少しました。"
PKSHA Technologyが開発したテキスト理解モジュールの名前は？,テキスト理解モジュール＜Dialogue_1＞です。
PKSHAの動画像認識領域のアルゴリズムソフトウェアの名前は？,HRUS（ホルス）です。
PKSHA Technologyの提供する強化学習モジュールの名前は？,強化学習モジュール＜Reinforcer＞です。
PKSHAが提供するCRM領域のアルゴリズムソフトウェアの特徴は？,CELLOR（セラー）は顧客管理を支援するソフトウェアです。
PKSHA Technologyが解決しようとしている社会課題の例は？,自然言語処理や画像認識技術を活用した業務効率化やカスタマーサポートの自動化です。
PKSHAが株式会社アイテックを子会社化したのはいつですか？,2019年7月です。
PKSHA Technologyが最初に開発したCRM領域のソフトウェアは？,CELLOR（セラー）です。
PKSHAが株式会社PRAZNAを改名した新しい社名は？,株式会社PKSHA Communicationです。
PKSHAの本社所在地はどこですか？,東京都文京区本郷二丁目35番10号 本郷瀬川ビル4Fです。
PKSHAが東京証券取引所スタンダード市場に市場変更したのはいつですか？,2022年9月です。
第9期の最高株価と最低株価はいくらですか？,"最高株価は3,995円、最低株価は1,670円です。"
2020年度の株価収益率は？,47.2倍です。
PKSHAの2021年度の株主総利回りは？,41.01%です。
PKSHAの2022年度の株主総利回りは？,40.26%です。
PKSHAの2023年度の自己資本比率は？,77.8%です。
2024年度の営業活動によるキャッシュフローはいくらですか？,"3,013,338千円です。"
2023年度の投資活動によるキャッシュフローは？,"1,719,624千円です。"
2020年度の財務活動によるキャッシュフローは？,"-1,108,714千円です。"
2021年度の現金及び現金同等物の期末残高はいくらですか？,"12,804,730千円です。"
2022年度の現金及び現金同等物の期末残高はいくらですか？,"12,495,623千円です。"
PKSHAが株式会社アイドラを吸収合併したのはいつですか？,2020年1月1日です。
PKSHA Technologyが株式会社BEDOREを設立したのはいつですか？,2016年10月です。
PKSHAが設立当初に所在した場所はどこですか？,東京都新宿区です。
PKSHA Technologyの連結子会社でカスタマーサポートに特化した企業はどこですか？,株式会社PKSHA Communicationです。
PKSHAが株式会社Sapeetを子会社化した目的は何ですか？,技術強化と事業拡大のためです。
